date,home_fitted_trend,home_fitted_lower,home_fitted_upper,fitted_trend,fitted_trend_upper,fitted_trend_lower,retail_fitted_upper,retail_fitted_lower
2020-06-07,2.4414827916709045,-3.546561575518981,8.42952715886079,37.38499921034109,100.80879745837626,-26.038799037694083,100.80879745837626,-26.038799037694083
2020-06-08,2.3506932953667903,-3.6373510718230952,8.338737662556674,37.970939412454825,101.39473766049,-25.452858835580344,101.39473766049,-25.452858835580344
2020-06-09,2.257534069569693,-3.7305102976201923,8.245578436759578,38.61413276540843,102.03793101344361,-24.809665482626734,102.03793101344361,-24.809665482626734
2020-06-10,2.162687169795077,-3.8253571973948084,8.150731536984962,39.304480874235274,102.72827912227044,-24.11931737379989,102.72827912227044,-24.11931737379989
2020-06-11,2.0701059707979343,-3.9179383963919507,8.05815033798782,39.94859709784075,103.3723953458759,-23.475201150194426,103.3723953458759,-23.475201150194426
2020-06-12,1.9893449728304327,-3.998699394359453,7.977389340020318,40.447192909965665,103.87099115800083,-22.9766053380695,103.87099115800083,-22.9766053380695
2020-06-13,1.9236485057657344,-4.064395861424151,7.911692872955619,40.7269256477169,104.15072389575207,-22.696872600318276,104.15072389575207,-22.696872600318276
2020-06-14,1.8767861455119803,-4.111258221677905,7.864830512701866,40.842631147275156,104.26642939531033,-22.58116710076002,104.26642939531033,-22.58116710076002
2020-06-15,1.8445288954091161,-4.14351547178077,7.832573262599001,40.864751432241206,104.28854968027638,-22.559046815793963,104.28854968027638,-22.559046815793963
2020-06-16,1.8042022662461783,-4.183842100943707,7.792246633436063,40.852363460301355,104.2761617083365,-22.57143478773382,104.2761617083365,-22.57143478773382
2020-06-17,1.7569479971426774,-4.231096370047208,7.744992364332562,40.80537795032241,104.22917619835758,-22.618420297712763,104.22917619835758,-22.618420297712763
2020-06-18,1.7064738741047296,-4.281570493085155,7.694518241294615,40.64148187894547,104.06528012698064,-22.7823163690897,104.06528012698064,-22.7823163690897
2020-06-19,1.6613355796204357,-4.32670878756945,7.6493799468103205,40.273928017483854,103.69772626551901,-23.14987023055132,103.69772626551901,-23.14987023055132
2020-06-20,1.6230240013122426,-4.365020365877642,7.611068368502127,39.64361333863851,103.06741158667367,-23.78018490939666,103.06741158667367,-23.78018490939666
2020-06-21,1.5928504501155396,-4.395193917074345,7.580894817305425,38.82137900035714,102.24517724839231,-24.602419247678025,102.24517724839231,-24.602419247678025
2020-06-22,1.5635304268710721,-4.424513940318812,7.551574794060957,37.89515748748369,101.31895573551886,-25.528640760551486,101.31895573551886,-25.528640760551486
2020-06-23,1.530187514779153,-4.457856852410732,7.518231881969038,36.97870120776275,100.40249945579792,-26.445097040272422,100.40249945579792,-26.445097040272422
2020-06-24,1.4902517174721064,-4.497792649717779,7.4782960846619915,36.09007231778792,99.51387056582308,-27.333725930247248,99.51387056582308,-27.333725930247248
2020-06-25,1.44371014645426,-4.5443342207356245,7.431754513644146,35.16411080710154,98.5879090551367,-28.259687440933636,98.5879090551367,-28.259687440933636
2020-06-26,1.4168905266009066,-4.571153840588979,7.404934893790792,34.16583424279647,97.58963249083163,-29.257964005238694,97.58963249083163,-29.257964005238694
2020-06-27,1.4081898232228203,-4.579854543967064,7.396234190412706,33.04897124150268,96.47276948953785,-30.37482700653249,96.47276948953785,-30.37482700653249
2020-06-28,1.416419796914154,-4.571624570275731,7.404464164104039,31.894095554860677,95.31789380289584,-31.529702693174492,95.31789380289584,-31.529702693174492
2020-06-29,1.4325087957353158,-4.555535571454568,7.4205531629252,30.795586402854592,94.21938465088975,-32.62821184518058,94.21938465088975,-32.62821184518058
2020-06-30,1.4505659613067814,-4.537478405883102,7.438610328496667,29.870483626394893,93.29428187443006,-33.553314621640276,93.29428187443006,-33.553314621640276
2020-07-01,1.467786325383987,-4.5202580418058975,7.455830692573872,29.137149368982865,92.56094761701803,-34.28664887905231,92.56094761701803,-34.28664887905231
2020-07-02,1.484659354615587,-4.503385012574298,7.4727037218054715,28.527878764109055,91.95167701214423,-34.895919483926114,91.95167701214423,-34.895919483926114
2020-07-03,1.5073745977554593,-4.480669769434425,7.495418964945344,27.966078638509714,91.38987688654488,-35.457719609525455,91.38987688654488,-35.457719609525455
2020-07-04,1.535989563274156,-4.452054803915729,7.52403393046404,27.397754391100335,90.8215526391355,-36.026043856934834,90.8215526391355,-36.026043856934834
2020-07-05,1.571352450730177,-4.416691916459707,7.559396817920062,26.89313858455271,90.31693683258787,-36.53065966348246,90.31693683258787,-36.53065966348246
2020-07-06,1.5995745984786607,-4.388469768711224,7.587618965668544,26.521079168403485,89.94487741643866,-36.90271907963169,89.94487741643866,-36.90271907963169
2020-07-07,1.6171513267422253,-4.37089304044766,7.605195693932108,26.381710031681017,89.8055082797162,-37.04208821635415,89.8055082797162,-37.04208821635415
2020-07-08,1.6236492201290713,-4.364395147060813,7.611693587318955,26.472759918928016,89.89655816696319,-36.951038329107156,89.89655816696319,-36.951038329107156
2020-07-09,1.621810075124543,-4.366234292065342,7.609854442314427,26.702140304037876,90.12593855207305,-36.7216579439973,90.12593855207305,-36.7216579439973
2020-07-10,1.6198731458606417,-4.368171221329243,7.607917513050526,26.96535531002288,90.38915355805806,-36.45844293801228,90.38915355805806,-36.45844293801228
2020-07-11,1.619677428651005,-4.3683669385388795,7.60772179584089,27.177721322668752,90.60151957070391,-36.24607692536641,90.60151957070391,-36.24607692536641
2020-07-12,1.623529187262457,-4.364515179927428,7.611573554452342,27.37737640313186,90.80117465116703,-36.04642184490331,90.80117465116703,-36.04642184490331
2020-07-13,1.625729701245488,-4.362314665944398,7.613774068435373,27.613701027916584,91.03749927595175,-35.81009722011858,91.03749927595175,-35.81009722011858
2020-07-14,1.623489796026084,-4.364554571163802,7.6115341632159685,27.957748846597877,91.38154709463304,-35.466049401437296,91.38154709463304,-35.466049401437296
2020-07-15,1.6167124602718275,-4.3713319069180585,7.604756827461712,28.38276009272015,91.80655834075532,-35.04103815531502,91.80655834075532,-35.04103815531502
2020-07-16,1.6081111737564995,-4.379933193433386,7.596155540946384,28.778850208762766,92.20264845679792,-34.64494803927241,92.20264845679792,-34.64494803927241
2020-07-17,1.60556526364131,-4.382479103548575,7.593609630831196,29.032164736704175,92.45596298473934,-34.391633511330994,92.45596298473934,-34.391633511330994
2020-07-18,1.6102745302403796,-4.377769836949506,7.598318897430265,29.058151686387482,92.48194993442266,-34.36564656164769,92.48194993442266,-34.36564656164769
2020-07-19,1.6236973158782029,-4.364347051311682,7.611741683068088,28.90488895175625,92.3286871997914,-34.51890929627892,92.3286871997914,-34.51890929627892
2020-07-20,1.6391587832660828,-4.348885583923802,7.627203150455967,28.641095391304304,92.06489363933946,-34.78270285673087,92.06489363933946,-34.78270285673087
2020-07-21,1.6528489969818723,-4.335195370208012,7.640893364171757,28.365476323618907,91.78927457165408,-35.05832192441626,91.78927457165408,-35.05832192441626
2020-07-22,1.6636936188914873,-4.324350748298398,7.651737986081372,28.085434796870107,91.50923304490526,-35.338363451165065,91.50923304490526,-35.338363451165065
2020-07-23,1.6735580020765295,-4.314486365113355,7.661602369266414,27.729358124963436,91.15315637299861,-35.69444012307174,91.15315637299861,-35.69444012307174
2020-07-24,1.689671310866944,-4.298373056322941,7.67771567805683,27.223243513395197,90.64704176143036,-36.20055473463997,90.64704176143036,-36.20055473463997
2020-07-25,1.712828834781258,-4.275215532408628,7.7008732019711434,26.521497187108302,89.94529543514346,-36.90230106092687,89.94529543514346,-36.90230106092687
2020-07-26,1.74435469487478,-4.243689672315105,7.732399062064665,25.707914631449643,89.13171287948481,-37.71588361658552,89.13171287948481,-37.71588361658552
2020-07-27,1.7777109174836405,-4.210333449706244,7.765755284673526,24.881709799628766,88.30550804766393,-38.5420884484064,88.30550804766393,-38.5420884484064
2020-07-28,1.8094725041815878,-4.1785718630082975,7.7975168713714735,24.165386463872032,87.5891847119072,-39.25841178416314,87.5891847119072,-39.25841178416314
2020-07-29,1.839147210395042,-4.148897156794844,7.827191577584927,23.582517853763097,87.00631610179826,-39.841280394272076,87.00631610179826,-39.841280394272076
2020-07-30,1.8693063295835863,-4.118738037606299,7.857350696773471,23.069646951101866,86.49344519913703,-40.3541512969333,86.49344519913703,-40.3541512969333
2020-07-31,1.9079223271672512,-4.080122040022634,7.895966694357135,22.55292635169254,85.9767245997277,-40.87087189634263,85.9767245997277,-40.87087189634263
2020-08-01,1.9564730729707471,-4.031571294219138,7.944517440160633,21.979340130964538,85.40313837899971,-41.44445811707063,85.40313837899971,-41.44445811707063
2020-08-02,2.0168014310555193,-3.9712429361343657,8.004845798245404,21.418516599434685,84.84231484746985,-42.00528164860049,84.84231484746985,-42.00528164860049
2020-08-03,2.082623812463413,-3.905420554726473,8.070668179653296,20.949815833666744,84.3736140817019,-42.47398241436842,84.3736140817019,-42.47398241436842
2020-08-04,2.1504123291570627,-3.8376320380328224,8.138456696346948,20.671458342689803,84.09525659072497,-42.75233990534537,84.09525659072497,-42.75233990534537
2020-08-05,2.2191423016581373,-3.768902065531748,8.20718666884802,20.579775296966044,84.00357354500122,-42.84402295106913,84.00357354500122,-42.84402295106913
2020-08-06,2.290374823405137,-3.697669543784749,8.27841919059502,20.582674260844918,84.00647250888008,-42.84112398719025,84.00647250888008,-42.84112398719025
2020-08-07,2.370570816316924,-3.617473550872961,8.358615183506808,20.577904761264808,84.00170300929997,-42.845893486770365,84.00170300929997,-42.845893486770365
2020-08-08,2.4592106268322,-3.5288337403576846,8.447254994022085,20.485925402036496,83.90972365007167,-42.937872845998676,83.90972365007167,-42.937872845998676
2020-08-09,2.555713099661682,-3.4323312675282027,8.543757466851567,20.35329408098615,83.77709232902131,-43.07050416704902,83.77709232902131,-43.07050416704902
2020-08-10,2.6510460966694835,-3.336998270520401,8.63909046385937,20.241270779024074,83.66506902705925,-43.1825274690111,83.66506902705925,-43.1825274690111
2020-08-11,2.7387609407572566,-3.2492834264326285,8.726805307947142,20.23616856456993,83.65996681260509,-43.18762968346524,83.65996681260509,-43.18762968346524
2020-08-12,2.8149365739863157,-3.1731077932035694,8.802980941176202,20.329338388860844,83.75313663689602,-43.09445985917433,83.75313663689602,-43.09445985917433
2020-08-13,2.8784992834564305,-3.109545083733454,8.866543650646317,20.430901315452292,83.85469956348746,-42.99289693258288,83.85469956348746,-42.99289693258288
2020-08-14,2.933803833182413,-3.054240534007472,8.921848200372297,20.447702838950907,83.87150108698606,-42.976095409084266,83.87150108698606,-42.976095409084266
2020-08-15,2.9861108604262987,-3.0019335067635864,8.974155227616183,20.327220225160758,83.75101847319593,-43.09657802287442,83.75101847319593,-43.09657802287442
2020-08-16,3.0345608780864137,-2.953483489103472,9.0226052452763,20.134845794606957,83.55864404264211,-43.28895245342821,83.55864404264211,-43.28895245342821
2020-08-17,3.0781862666910706,-2.909858100498814,9.066230633880954,19.964297014310812,83.38809526234597,-43.45950123372436,83.38809526234597,-43.45950123372436
2020-08-18,3.1128875451572267,-2.8751568220326584,9.10093191234711,19.92099447043982,83.34479271847498,-43.50280377759535,83.34479271847498,-43.50280377759535
2020-08-19,3.138512212446019,-2.849532154743866,9.126556579635904,20.011384963161614,83.43518321119677,-43.41241328487355,83.43518321119677,-43.41241328487355
2020-08-20,3.159116268929332,-2.828928098260553,9.147160636119215,20.153897456465938,83.5776957045011,-43.26990079156923,83.5776957045011,-43.26990079156923
2020-08-21,3.185363284067345,-2.80268108312254,9.17340765125723,20.2547748529142,83.67857310094936,-43.169023395120966,83.67857310094936,-43.169023395120966
2020-08-22,3.222605971298711,-2.7654383958911746,9.210650338488595,20.238842446478085,83.66264069451324,-43.18495580155709,83.66264069451324,-43.18495580155709
2020-08-23,3.2803093168416995,-2.707735050348186,9.268353684031585,20.122590394689514,83.54638864272468,-43.30120785334566,83.54638864272468,-43.30120785334566
2020-08-24,3.360250632443325,-2.62779373474656,9.348294999633211,19.932714164116256,83.35651241215143,-43.49108408391892,83.35651241215143,-43.49108408391892
2020-08-25,3.4458690426930083,-2.5421753244968768,9.433913409882894,19.680049894711452,83.10384814274661,-43.74374835332371,83.10384814274661,-43.74374835332371
2020-08-26,3.5442773200219655,-2.4437670471679196,9.532321687211851,19.31339231593228,82.73719056396745,-44.11040593210289,82.73719056396745,-44.11040593210289
2020-08-27,3.6434458931381037,-2.3445984740517813,9.63149026032799,18.662256902008618,82.08605515004379,-44.76154134602655,82.08605515004379,-44.76154134602655
2020-08-28,3.756798392422714,-2.2312459747671705,9.744842759612599,17.589882189482633,81.0136804375178,-45.83391605855253,81.0136804375178,-45.83391605855253
2020-08-29,3.8897848987575463,-2.0982594684323383,9.877829265947431,15.991517738260333,79.4153159862955,-47.43228050977484,79.4153159862955,-47.43228050977484
2020-08-30,4.046564597310904,-1.9414797698789812,10.034608964500789,13.89941974621171,77.32321799424689,-49.52437850182346,77.32321799424689,-49.52437850182346
2020-08-31,4.221436846153373,-1.7666075210365122,10.209481213343258,11.372361682817452,74.79615993085262,-52.05143656521771,74.79615993085262,-52.05143656521771
2020-09-01,4.4097564054444085,-1.5782879617454764,10.397800772634294,8.506183727131106,71.92998197516629,-54.91761452090407,71.92998197516629,-54.91761452090407
2020-09-02,4.599793637721431,-1.3882507294684534,10.587838004911317,5.399179931554026,68.8229781795892,-58.024618316481146,68.8229781795892,-58.024618316481146
2020-09-03,4.782395512431396,-1.2056488547584885,10.770439879621282,2.0715036005098897,65.49530184854505,-61.35229464752528,65.49530184854505,-61.35229464752528
2020-09-04,4.974866988038139,-1.0131773791517455,10.962911355228025,-1.4225947641234558,62.001203483911716,-64.84639301215863,62.001203483911716,-64.84639301215863
2020-09-05,5.166837308784884,-0.8212070584050004,11.154881675974769,-5.0380189320761675,58.385779315959,-68.46181718011134,58.385779315959,-68.46181718011134
2020-09-06,5.370055124215714,-0.6179892429741705,11.3580994914056,-8.566562148262769,54.8572360997724,-71.99036039629794,54.8572360997724,-71.99036039629794
2020-09-07,5.5672318413560005,-0.42081252583388434,11.555276208545887,-11.822473869506979,51.60132437852819,-75.24627211754213,51.60132437852819,-75.24627211754213
2020-09-08,5.745000864611428,-0.24304350257845755,11.733045231801313,-14.604779406585209,48.81901884144996,-78.02857765462038,48.81901884144996,-78.02857765462038
2020-09-09,5.893953044060202,-0.09409132312968269,11.881997411250088,-16.82065999688181,46.60313825115336,-80.24445824491697,46.60313825115336,-80.24445824491697
2020-09-10,6.008953334773167,0.0209089675832823,11.996997701963052,-18.474418441754686,44.949379806280476,-81.89821668978985,44.949379806280476,-81.89821668978985
2020-09-11,6.091629378283375,0.10358501109348976,12.079673745473261,-19.591378186055028,43.83242006198014,-83.0151764340902,43.83242006198014,-83.0151764340902
2020-09-12,6.146613476382723,0.15856910919283757,12.134657843572608,-20.27265240290205,43.151145845133115,-83.69645065093722,43.151145845133115,-83.69645065093722
2020-09-13,6.179130128354922,0.19108576116503656,12.167174495544808,-20.499915983828092,42.92388226420708,-83.92371423186327,42.92388226420708,-83.92371423186327
2020-09-14,6.179478227913288,0.19143386072340296,12.167522595103174,-20.259518612788703,43.164279635246466,-83.68331686082388,43.164279635246466,-83.68331686082388
