date,mean_Rt,lower_Rt,upper_Rt,mean_TP,lower_TP,upper_TP,Cori_Rt,mean_expected,lower_expected,upper_expected,incidence
2020-09-06,1.1024936375708445,0.9604772329773862,1.253182853135301,1.1789033769727488,1.0020678704268364,1.355738883518661,0.9682259679285714,235.75506861818076,204.53178933485523,276.05868168670355,163
2020-09-07,1.0669942412295153,0.9260601605129032,1.2253602465080684,1.183701242380663,1.0061460560235636,1.3612564287377624,0.9711934737857144,214.43147308438617,186.3246755591962,249.85952215121785,157
2020-09-08,1.0378013942626385,0.8988988847448685,1.2008812293513236,1.1891835917357751,1.0108060529754088,1.3675611304961413,0.9535157730714284,195.2141631479285,170.32777776171594,225.8738168126606,154
2020-09-09,1.0142563534400315,0.8790740160318364,1.1794370225367377,1.1948863968503836,1.015653437322826,1.3741193563779412,0.9267232910714286,178.28020896506217,156.0113718695026,204.61074382384868,149
2020-09-10,0.9956004156259076,0.864033910728554,1.1585948379554996,1.2004761274016842,1.0204047082914314,1.3805475465119366,0.8931242982142857,167.4530683058351,146.99001385617427,190.4340285451862,143
2020-09-11,0.97519289148345,0.8465560415417045,1.1301690659156691,1.2029680217762924,1.0225228185098485,1.383413225042736,0.8740280227142857,158.99563177039474,139.54476203166536,178.83376946821153,141
2020-09-12,0.9716504840106824,0.845758759238638,1.1199716872694068,1.2169493705588956,1.0344069649750611,1.39949177614273,0.859829853,156.19629930108053,137.13063133593405,173.85143643575339,137
2020-09-13,0.9685920930092584,0.8448976538558142,1.1089007573452632,1.2265259059842943,1.0425470200866502,1.410504791881939,0.8634436521428571,151.8768434593078,133.59424480919296,167.76172314399219,131
2020-09-14,0.95605470844635,0.8367383147193574,1.0873888814390211,1.2205892436212262,1.0375008570780422,1.40367763016441,0.8702158835,148.67848201849515,131.34594095826725,163.6587953383033,131
2020-09-15,0.965220772595041,0.8467011535993569,1.0896722786460835,1.2382785473470943,1.0525367652450304,1.4240203294491585,0.8621698297857143,142.9426800788604,127.12676470641931,157.08419403826716,123
2020-09-16,0.96818369516365,0.8523266765568854,1.0864966187113123,1.2445437758151403,1.0578622094428691,1.431225342187411,0.8632801534285715,140.42530826350685,125.44879230760316,153.96334045168285,120
2020-09-17,0.9736427260026854,0.8590512523895534,1.085349888481749,1.2513524480806244,1.0636495808685305,1.4390553152927177,0.8781200462857142,138.41979816111257,124.34263200819653,151.4202073605766,114
2020-09-18,0.9889461213834696,0.8754523379482633,1.095833251184119,1.268415142056796,1.0781528707482764,1.458677413365315,0.8969918230714286,135.9912335001219,122.76437888449459,148.40554625782266,109
2020-09-19,1.005039524735326,0.8926569678205262,1.106615722666971,1.2848724603475234,1.092141591295395,1.4776033293996518,0.9407166099285714,128.11441393244237,116.20833764311271,139.50280870970664,102
2020-09-20,1.0209389582233344,0.9113146402509864,1.11973254646431,1.2998809573031396,1.1048988137076687,1.4948631008986104,0.9943188400714286,124.87427941764687,113.53145186774192,135.65674464065904,102
2020-09-21,1.0158293737796051,0.9111641898699542,1.110858831438938,1.2870333121061228,1.0939783152902045,1.4800883089220414,1.0403764176428572,120.10941589324396,109.33255143255151,130.3803481101626,98
2020-09-22,1.0108518929442345,0.9094156297538164,1.1028344612719485,1.274482551052104,1.0833101683942885,1.4656549337099196,1.085932775642857,114.53493320354332,104.29002288761647,124.53832051797392,96
2020-09-23,1.0198202578540063,0.9204571492192576,1.111096154710198,1.279067087357348,1.0872070242537455,1.4709271504609498,1.1190431722142855,109.73844505257821,99.89765598642553,120.01570431185469,89
2020-09-24,1.0272471264782026,0.9296634310188508,1.1191951468550545,1.28179592363079,1.0895265350861714,1.4740653121754084,1.1365112717857142,105.98696117855066,96.21807916172035,116.78556456052489,91
2020-09-25,1.023553787944397,0.92924925923535,1.1177633442174002,1.269962486342147,1.079468113390825,1.460456859293469,1.1350124989285717,103.4838351486981,93.58742501946358,115.14846775625415,88
2020-09-26,1.035307426078454,0.9410647986960968,1.1341481452981532,1.277800935946575,1.0861307955545887,1.4694710763385612,1.1155906714285713,103.38397203545934,93.01408811238386,116.10832741783133,85
2020-09-27,1.0468581942833322,0.9513887845566604,1.150874033071143,1.2852183597525022,1.092435605789627,1.4780011137153777,1.0944914067142857,101.68262442853005,90.91099581119828,115.11340265621683,85
